, PRODUCT A ,exp,err, PRODUCT B ,exp,err, PRODUCT C ,exp,err, PRODUCT D ,exp,err
DATE, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,
12-Sep-11,"1,960",1864.851751,3122.33625,391,371.5246051,304.987253,25,23.75296876,14.39947639,366,359.3431602,3213.355667
13-Sep-11,"6,410",6182.742588,2896.23696,432,428.9762303,227.5768561,,1.187648438,14.39947639,"5,562",5301.867158,3016.314199
14-Sep-11,"3,208",3356.737129,3323.088011,504,500.2488115,231.6622846,,0.059382422,14.39947639,"3,708",3787.693358,3142.492435
15-Sep-11,"1,302",1404.736856,3353.078722,18,42.11244058,283.9305993,,0.002969121,#DIV/0!,810,958.8846679,3581.187347
16-Sep-11,253,310.5868428,2190.702773,,2.105622029,281.7756094,,0.000148456,#DIV/0!,120,161.9442334,2009.21193
19-Sep-11,"2,748",2626.129342,1956.98964,260,247.1052811,315.7390412,,7.4228E-06,#DIV/0!,522,503.9972117,1798.149547
20-Sep-11,"8,870",8557.806467,3926.550712,434,424.6552641,183.8832475,,3.7114E-07,#DIV/0!,"4,860",4642.199861,2569.573761
21-Sep-11,"3,819",4055.940323,4739.310443,474,471.5327632,186.077089,25,23.75000002,14.43375652,"4,638",4638.209993,2523.51726
22-Sep-11,"1,484",1612.597016,4762.950225,,23.57663816,111.6012827,,1.187500001,14.43375652,522,727.8104997,3460.152339
23-Sep-11,208,278.2298508,3216.833668,,1.178831908,28.48919658,,0.059375,14.43375652,204,230.190525,2395.661341
26-Sep-11,"2,558",2444.011493,2143.604576,498,473.1589416,286.8398351,,0.00296875,#DIV/0!,858,826.6095262,2422.925703
27-Sep-11,"7,802",7534.100575,3458.240668,498,496.7579471,287.1981611,,0.000148438,#DIV/0!,"3,780",3632.330476,1769.278334
28-Sep-11,"4,202",4368.605029,3873.339946,522,520.7378974,287.5676804,25,23.75000742,14.43367103,"5,436",5345.816524,2030.589715
29-Sep-11,"1,313",1465.780251,4047.536583,,26.03689487,20.44699993,,1.187500371,14.43367103,864,1088.090826,3269.170047
30-Sep-11,250,310.7890126,2702.945181,,1.301844743,14.57350605,,0.059375019,14.43367103,138,185.5045413,2842.685097
03-Oct-11,"3,678",3509.639451,2717.410136,445,422.8150922,256.1692494,,0.002968751,#DIV/0!,732,704.6752271,2663.832403
04-Oct-11,"9,481",9182.431973,4019.675703,522,517.0407546,262.4917135,,0.000148438,#DIV/0!,"3,240",3113.233761,1594.699718
05-Oct-11,"4,158",4409.221599,4907.143544,531,530.3020377,262.6154092,23,21.85000742,13.27897049,"4,644",4567.461688,1738.751877
06-Oct-11,754,936.7610799,4975.362914,,26.51510189,57.82878885,,1.092500371,13.27897049,468,672.9730844,2919.85748
07-Oct-11,187,224.488054,3613.295046,,1.325755094,8.059374083,,0.054625019,13.27897049,168,193.2486542,2543.215106
10-Oct-11,"2,474",2361.524403,2515.491377,344,326.8662878,197.8430675,,0.002731251,#DIV/0!,720,693.6624327,2404.027934
11-Oct-11,"4,174",4083.37622,1723.128305,559,547.3933144,238.9642222,,0.000136563,#DIV/0!,486,496.3831216,438.0214919
